period,category,allocated,notes
Fall 2025,Rent,5000,Fall quarter rent
Fall 2025,Utilities,800,Electricity water internet
Fall 2025,Insurance,600,Liability insurance
Fall 2025,National Dues,1200,National fraternity dues
Fall 2025,Food & Catering,2000,Brotherhood meals and events
Fall 2025,Supplies,500,General supplies
Fall 2025,Maintenance,800,House maintenance
Fall 2025,Transportation,300,Travel expenses
Fall 2025,Social Events,1500,Fall social events
Fall 2025,Formal Events,2500,Fall formal
Fall 2025,Philanthropy,800,Charitable events
Fall 2025,Brotherhood Events,600,Brotherhood activities
Winter 2026,Rent,5000,Winter quarter rent
Winter 2026,Utilities,900,Higher heating costs
Winter 2026,Insurance,600,Liability insurance
Winter 2026,National Dues,1200,National fraternity dues
Winter 2026,Food & Catering,1800,Winter events
Winter 2026,Supplies,400,General supplies
Winter 2026,Maintenance,700,Winter maintenance
Winter 2026,Transportation,250,Travel expenses
Winter 2026,Social Events,1200,Winter social events
Winter 2026,Formal Events,3000,Winter formal
Winter 2026,Philanthropy,600,Winter charity events
Winter 2026,Brotherhood Events,500,Brotherhood activities